ID,Time,API Call ID,Function Name,FADD.avg [inst],FADD.max [inst],FADD.min [inst],FADD.sum [inst],FFMA.avg [inst],FFMA.max [inst],FFMA.min [inst],FFMA.sum [inst],FMUL.avg [inst],FMUL.max [inst],FMUL.min [inst],FMUL.sum [inst]
0,2025-Nov-03 14:44:38,784,horiz,768000,799360,714880,24576000,1804800,1878496,1679968,57753600,38400,39968,35744,1228800
1,2025-Nov-03 14:44:40,787,vert,537600,570752,498624,17203200,499200,529984,463008,15974400,0,0,0,0
2,2025-Nov-03 14:44:41,790,horiz,384000,396160,362880,12288000,268800,277312,254016,8601600,0,0,0,0
3,2025-Nov-03 14:44:42,792,vert,537600,571200,499072,17203200,499200,530400,463424,15974400,0,0,0,0
4,2025-Nov-03 14:44:44,794,horiz,460800,474624,436224,14745600,345600,355968,327168,11059200,0,0,0,0
5,2025-Nov-03 14:44:45,796,vert,691200,733248,643392,22118400,652800,692512,607648,20889600,0,0,0,0
6,2025-Nov-03 14:44:46,798,horiz,499200,515008,470912,15974400,384000,396160,362240,12288000,0,0,0,0
7,2025-Nov-03 14:44:48,800,vert,768000,812800,714880,24576000,729600,772160,679136,23347200,0,0,0,0
8,2025-Nov-03 14:44:49,803,horiz,576000,593280,544320,18432000,460800,474624,435456,14745600,0,0,0,0
9,2025-Nov-03 14:44:51,805,vert,921600,975360,855552,29491200,883200,934720,819904,28262400,0,0,0,0
10,2025-Nov-03 14:44:52,807,horiz,691200,711936,653184,22118400,576000,593280,544320,18432000,0,0,0,0
11,2025-Nov-03 14:44:53,809,vert,1152000,1215360,1073280,36864000,1113600,1174848,1037504,35635200,0,0,0,0
12,2025-Nov-03 14:44:55,813,get_by_2_pick_every_second,19200,20160,18112,614400,0,0,0,0,0,0,0,0
13,2025-Nov-03 14:44:56,815,horiz,96000,99200,90880,3072000,67200,69440,63616,2150400,0,0,0,0
14,2025-Nov-03 14:44:57,817,vert,143360,151424,133056,4587520,133120,140608,123552,4259840,0,0,0,0
15,2025-Nov-03 14:44:59,819,horiz,115200,119040,109056,3686400,86400,89280,81792,2764800,0,0,0,0
16,2025-Nov-03 14:45:00,821,vert,184320,195840,171072,5898240,174080,184960,161568,5570560,0,0,0,0
17,2025-Nov-03 14:45:01,823,horiz,124800,128960,118144,3993600,96000,99200,90880,3072000,0,0,0,0
18,2025-Nov-03 14:45:02,825,vert,204800,217600,190080,6553600,194560,206720,180576,6225920,0,0,0,0
19,2025-Nov-03 14:45:03,828,horiz,144000,148800,136320,4608000,115200,119040,109056,3686400,0,0,0,0
20,2025-Nov-03 14:45:05,830,vert,245760,261120,228096,7864320,235520,250240,218592,7536640,0,0,0,0
21,2025-Nov-03 14:45:06,832,horiz,172800,178560,163584,5529600,144000,148800,136320,4608000,0,0,0,0
22,2025-Nov-03 14:45:07,834,vert,307200,325440,286080,9830400,296960,314592,276544,9502720,0,0,0,0
23,2025-Nov-03 14:45:08,837,get_by_2_pick_every_second,4800,5056,4480,153600,0,0,0,0,0,0,0,0
24,2025-Nov-03 14:45:09,839,horiz,25600,26240,24320,819200,17920,18368,17024,573440,0,0,0,0
25,2025-Nov-03 14:45:10,841,vert,35840,38080,32704,1146880,33280,35360,30368,1064960,0,0,0,0
26,2025-Nov-03 14:45:12,843,horiz,30720,31488,29184,983040,23040,23616,21888,737280,0,0,0,0
27,2025-Nov-03 14:45:13,845,vert,46080,48960,42624,1474560,43520,46240,40256,1392640,0,0,0,0
28,2025-Nov-03 14:45:14,847,horiz,33280,34112,31616,1064960,25600,26240,24320,819200,0,0,0,0
29,2025-Nov-03 14:45:15,849,vert,51200,53120,48000,1638400,48640,50464,45600,1556480,0,0,0,0
30,2025-Nov-03 14:45:17,852,horiz,38400,39360,36480,1228800,30720,31488,29184,983040,0,0,0,0
31,2025-Nov-03 14:45:18,854,vert,61440,64512,56832,1966080,58880,61824,54464,1884160,0,0,0,0
32,2025-Nov-03 14:45:19,856,horiz,46080,47232,43776,1474560,38400,39360,36480,1228800,0,0,0,0
33,2025-Nov-03 14:45:20,858,vert,76800,80640,72000,2457600,74240,77952,69600,2375680,0,0,0,0
34,2025-Nov-03 14:45:22,861,get_by_2_pick_every_second,1200,1488,928,38400,0,0,0,0,0,0,0,0
35,2025-Nov-03 14:45:23,863,horiz,6400,6400,6400,204800,4480,4480,4480,143360,0,0,0,0
36,2025-Nov-03 14:45:24,865,vert,8960,8960,8960,286720,8320,8320,8320,266240,0,0,0,0
37,2025-Nov-03 14:45:25,867,horiz,7680,7680,7680,245760,5760,5760,5760,184320,0,0,0,0
38,2025-Nov-03 14:45:26,869,vert,11520,12096,10944,368640,10880,11424,10336,348160,0,0,0,0
39,2025-Nov-03 14:45:27,871,horiz,8320,8320,8320,266240,6400,6400,6400,204800,0,0,0,0
40,2025-Nov-03 14:45:29,873,vert,12800,12800,12800,409600,12160,12160,12160,389120,0,0,0,0
41,2025-Nov-03 14:45:30,876,horiz,9600,9600,9600,307200,7680,7680,7680,245760,0,0,0,0
42,2025-Nov-03 14:45:31,878,vert,15360,15360,15360,491520,14720,14720,14720,471040,0,0,0,0
43,2025-Nov-03 14:45:32,880,horiz,11520,11520,11520,368640,9600,9600,9600,307200,0,0,0,0
44,2025-Nov-03 14:45:33,882,vert,19200,20160,18240,614400,18560,19488,17632,593920,0,0,0,0
45,2025-Nov-03 14:45:34,885,get_by_2_pick_every_second,300,304,296,9600,0,0,0,0,0,0,0,0
46,2025-Nov-03 14:45:36,887,horiz,1600,1920,1280,51200,1120,1344,896,35840,0,0,0,0
47,2025-Nov-03 14:45:37,889,vert,2240,2240,2240,71680,2080,2080,2080,66560,0,0,0,0
48,2025-Nov-03 14:45:38,891,horiz,1920,2304,1536,61440,1440,1728,1152,46080,0,0,0,0
49,2025-Nov-03 14:45:39,893,vert,2880,2880,2880,92160,2720,2720,2720,87040,0,0,0,0
50,2025-Nov-03 14:45:40,895,horiz,2080,2496,1664,66560,1600,1920,1280,51200,0,0,0,0
51,2025-Nov-03 14:45:41,897,vert,3200,3200,3200,102400,3040,3040,3040,97280,0,0,0,0
52,2025-Nov-03 14:45:43,900,horiz,2400,2880,1920,76800,1920,2304,1536,61440,0,0,0,0
53,2025-Nov-03 14:45:44,902,vert,3840,3840,3840,122880,3680,3680,3680,117760,0,0,0,0
54,2025-Nov-03 14:45:45,904,horiz,2880,3456,2304,92160,2400,2880,1920,76800,0,0,0,0
55,2025-Nov-03 14:45:46,906,vert,4800,4800,4800,153600,4640,4640,4640,148480,0,0,0,0
56,2025-Nov-03 14:45:47,909,get_by_2_pick_every_second,75,120,60,2400,0,0,0,0,0,0,0,0
57,2025-Nov-03 14:45:48,911,horiz,400,640,0,12800,280,448,0,8960,0,0,0,0
58,2025-Nov-03 14:45:50,913,vert,1120,1344,896,35840,1040,1248,832,33280,0,0,0,0
59,2025-Nov-03 14:45:51,915,horiz,480,768,0,15360,360,576,0,11520,0,0,0,0
60,2025-Nov-03 14:45:52,917,vert,1440,1728,1152,46080,1360,1632,1088,43520,0,0,0,0
61,2025-Nov-03 14:45:53,919,horiz,520,832,0,16640,400,640,0,12800,0,0,0,0
62,2025-Nov-03 14:45:54,921,vert,1600,1920,1280,51200,1520,1824,1216,48640,0,0,0,0
63,2025-Nov-03 14:45:55,924,horiz,600,960,0,19200,480,768,0,15360,0,0,0,0
64,2025-Nov-03 14:45:56,926,vert,1920,2304,1536,61440,1840,2208,1472,58880,0,0,0,0
65,2025-Nov-03 14:45:58,928,horiz,720,1152,0,23040,600,960,0,19200,0,0,0,0
66,2025-Nov-03 14:45:59,930,vert,2400,2880,1920,76800,2320,2784,1856,74240,0,0,0,0
67,2025-Nov-03 14:46:00,933,get_by_2_pick_every_second,18.75,30,0,600,0,0,0,0,0,0,0,0
68,2025-Nov-03 14:46:01,935,horiz,240,640,0,7680,168,448,0,5376,0,0,0,0
69,2025-Nov-03 14:46:02,937,vert,560,896,448,17920,520,832,416,16640,0,0,0,0
70,2025-Nov-03 14:46:03,939,horiz,288,768,0,9216,216,576,0,6912,0,0,0,0
71,2025-Nov-03 14:46:05,941,vert,720,1152,576,23040,680,1088,544,21760,0,0,0,0
72,2025-Nov-03 14:46:06,943,horiz,312,832,0,9984,240,640,0,7680,0,0,0,0
73,2025-Nov-03 14:46:07,945,vert,800,1280,640,25600,760,1216,608,24320,0,0,0,0
74,2025-Nov-03 14:46:08,948,horiz,360,960,0,11520,288,768,0,9216,0,0,0,0
75,2025-Nov-03 14:46:09,950,vert,960,1536,768,30720,920,1472,736,29440,0,0,0,0
76,2025-Nov-03 14:46:10,952,horiz,432,1152,0,13824,360,960,0,11520,0,0,0,0
77,2025-Nov-03 14:46:12,954,vert,1200,1920,960,38400,1160,1856,928,37120,0,0,0,0
78,2025-Nov-03 14:46:13,957,make_dog,286720,295680,267008,9175040,0,0,0,0,0,0,0,0
79,2025-Nov-03 14:46:14,959,make_dog,143360,146944,134400,4587520,0,0,0,0,0,0,0,0
80,2025-Nov-03 14:46:15,961,make_dog,71680,73472,68096,2293760,0,0,0,0,0,0,0,0
81,2025-Nov-03 14:46:17,963,make_dog,35840,37632,34048,1146880,0,0,0,0,0,0,0,0
82,2025-Nov-03 14:46:18,965,make_dog,17920,17920,17920,573440,0,0,0,0,0,0,0,0
83,2025-Nov-03 14:46:19,967,make_dog,8960,8960,8960,286720,0,0,0,0,0,0,0,0
84,2025-Nov-03 14:46:20,969,make_dog,4480,5376,3584,143360,0,0,0,0,0,0,0,0
85,2025-Nov-03 14:46:22,979,find_extrema_in_dog,254688.66,270930,235330,8150037,959.44,1609,299,30702,115964.72,123687,106816,3710871
86,2025-Nov-03 14:46:23,982,find_extrema_in_dog,69163.22,74080,63058,2213223,841.22,1549,494,26919,29533.12,31511,26802,945060
87,2025-Nov-03 14:46:24,985,find_extrema_in_dog,20276.38,21590,18110,648844,394.97,752,107,12639,8036.06,8613,7185,257154
88,2025-Nov-03 14:46:26,988,find_extrema_in_dog,5375.72,5976,4490,172023,55.62,156,0,1780,1969.28,2185,1664,63017
89,2025-Nov-03 14:46:27,991,find_extrema_in_dog,1513.16,1704,1226,48421,24.84,111,0,795,500.31,550,420,16010
90,2025-Nov-03 14:46:28,994,find_extrema_in_dog,411.31,602,318,13162,10.28,149,0,329,128.34,249,96,4107
91,2025-Nov-03 14:46:29,997,find_extrema_in_dog,213.69,296,126,6838,1.91,61,0,61,61.12,100,32,1956
92,2025-Nov-03 14:46:31,1003,ori_par,205.34,6571,0,6571,203.59,6515,0,6515,110.41,3533,0,3533
93,2025-Nov-03 14:46:32,1007,ori_par,495.75,8286,0,15864,479.44,7971,0,15342,267.75,4509,0,8568
94,2025-Nov-03 14:46:33,1011,ori_par,2287.5,24390,0,73200,2069.78,21465,0,66233,1267.03,13747,0,40545
